setting,score,predicted_positive,subject,template_id,template_family,approval_context,expected_detection_signal,text
enron_zero_shot_enron_threshold,0.005872041523326113,0,[WO-98922] Approved password reset - internal ticket WO-98922,HAR-LEGI-02,legitimate_password_reset,approved,remote_access,"[WO-98922] Approved password reset - internal ticket WO-98922

Hi Tyrone,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved by procurement; ticket WO-98922; building Traffic Management Center; asset VAV-102; zone elevator machine room. The request may mention log export, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Leah Kim
Vendor Coordinator"
enron_zero_shot_enron_threshold,0.005852101366642189,0,Procurement-approved invoice/banking update - BMS-10732,HAR-APPR-03,approved_invoice_banking_update,approved,payment_change,"Procurement-approved invoice/banking update - BMS-10732

Hi James,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket BMS-10732; building Community Center East; asset B-2; zone basement mechanical. The request may mention firmware update, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Ian McCarthy
Energy Analyst"
enron_zero_shot_enron_threshold,0.0051906812470437986,0,Approved emergency alarm testing - Community Center West,HAR-APPR-04,approved_emergency_alarm_testing,approved,policy_bypass,"Approved emergency alarm testing - Community Center West

Hi Noah,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket WO-42536; building Community Center West; asset CTRL-204; zone roof penthouse. The request may mention remote support, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after vendor disconnects. No external payment portal or off-ticket credential collection is authorized.

Amir Hassan
Security Systems Admin"
enron_zero_shot_enron_threshold,0.005004873631911343,0,Follow-up: Approved log export for compliance audit - FAC-89397,HAR-APPR-02,approved_log_export_audit,approved,remote_access,"Follow-up: Approved log export for compliance audit - FAC-89397

Hi Mina,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: logged in the audit register; ticket FAC-89397; building Permit Center; asset VAV-121; zone elevator machine room. The request may mention alarm testing, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

James O'Brien
BMS Operator"
enron_zero_shot_enron_threshold,0.004910069806552923,0,RE: Approved firmware update - CTRL-205,HAR-APPR-01,approved_firmware_update,approved,credential_request,"RE: Approved firmware update - CTRL-205

Hi David,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: authorized under maintenance ticket; ticket FAC-97079; building Traffic Management Center; asset CTRL-205; zone server room. The request may mention log export, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after vendor disconnects. No external payment portal or off-ticket credential collection is authorized.

Olivia Brown
Compliance Analyst"
enron_zero_shot_enron_threshold,0.004887678457372967,0,Follow-up: Approved log export for compliance audit - BMS-25196,HAR-APPR-04,approved_log_export_audit,approved,policy_bypass,"Follow-up: Approved log export for compliance audit - BMS-25196

Hi Priya,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket BMS-25196; building Senior Center; asset VAV-201; zone training room A. The request may mention firmware update, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Leah Kim
Vendor Coordinator"
enron_zero_shot_enron_threshold,0.00484608065628812,0,Follow-up: Approved password reset - internal ticket AUD-36670,HAR-LEGI-01,legitimate_password_reset,approved,credential_request,"Follow-up: Approved password reset - internal ticket AUD-36670

Hi Fatima,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket AUD-36670; building Traffic Management Center; asset AHU-2; zone elevator machine room. The request may mention remote support, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after vendor disconnects. No external payment portal or off-ticket credential collection is authorized.

Lin Zhao
Facilities IT Liaison"
enron_zero_shot_enron_threshold,0.0047931610606832525,0,[FAC-12153] Approved vendor VPN access - FAC-12153,HAR-APPR-03,approved_vendor_vpn,approved,payment_change,"[FAC-12153] Approved vendor VPN access - FAC-12153

Hi James,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket FAC-12153; building Recreation Center; asset CTRL-208; zone council chambers. The request may mention banking update, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Noah Davis
OT Network Engineer"
enron_zero_shot_enron_threshold,0.004785191896874173,0,Approved remote support session - Traffic Management Center,HAR-APPR-02,approved_remote_support,approved,remote_access,"Approved remote support session - Traffic Management Center

Hi Nora,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved in Change Advisory Board; ticket WO-21608; building Traffic Management Center; asset RTU-6; zone server room. The request may mention log export, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: end of maintenance window. No external payment portal or off-ticket credential collection is authorized.

Priya Patel
Controls Technician"
enron_zero_shot_enron_threshold,0.004736419112592372,0,Approved remote support session - Traffic Management Center,HAR-APPR-03,approved_remote_support,approved,payment_change,"Approved remote support session - Traffic Management Center

Hi Paula,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: validated against the vendor roster; ticket AUD-38983; building Traffic Management Center; asset VAV-114; zone server room. The request may mention policy exception, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Anna Kowalski
Building Engineer"
enron_zero_shot_target_calibrated_threshold,0.005872041523326113,1,[WO-98922] Approved password reset - internal ticket WO-98922,HAR-LEGI-02,legitimate_password_reset,approved,remote_access,"[WO-98922] Approved password reset - internal ticket WO-98922

Hi Tyrone,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved by procurement; ticket WO-98922; building Traffic Management Center; asset VAV-102; zone elevator machine room. The request may mention log export, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Leah Kim
Vendor Coordinator"
enron_zero_shot_target_calibrated_threshold,0.005852101366642189,1,Procurement-approved invoice/banking update - BMS-10732,HAR-APPR-03,approved_invoice_banking_update,approved,payment_change,"Procurement-approved invoice/banking update - BMS-10732

Hi James,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket BMS-10732; building Community Center East; asset B-2; zone basement mechanical. The request may mention firmware update, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Ian McCarthy
Energy Analyst"
enron_zero_shot_target_calibrated_threshold,0.0051906812470437986,1,Approved emergency alarm testing - Community Center West,HAR-APPR-04,approved_emergency_alarm_testing,approved,policy_bypass,"Approved emergency alarm testing - Community Center West

Hi Noah,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket WO-42536; building Community Center West; asset CTRL-204; zone roof penthouse. The request may mention remote support, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after vendor disconnects. No external payment portal or off-ticket credential collection is authorized.

Amir Hassan
Security Systems Admin"
enron_zero_shot_target_calibrated_threshold,0.005004873631911343,1,Follow-up: Approved log export for compliance audit - FAC-89397,HAR-APPR-02,approved_log_export_audit,approved,remote_access,"Follow-up: Approved log export for compliance audit - FAC-89397

Hi Mina,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: logged in the audit register; ticket FAC-89397; building Permit Center; asset VAV-121; zone elevator machine room. The request may mention alarm testing, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

James O'Brien
BMS Operator"
enron_zero_shot_target_calibrated_threshold,0.004910069806552923,1,RE: Approved firmware update - CTRL-205,HAR-APPR-01,approved_firmware_update,approved,credential_request,"RE: Approved firmware update - CTRL-205

Hi David,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: authorized under maintenance ticket; ticket FAC-97079; building Traffic Management Center; asset CTRL-205; zone server room. The request may mention log export, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after vendor disconnects. No external payment portal or off-ticket credential collection is authorized.

Olivia Brown
Compliance Analyst"
enron_zero_shot_target_calibrated_threshold,0.004887678457372967,1,Follow-up: Approved log export for compliance audit - BMS-25196,HAR-APPR-04,approved_log_export_audit,approved,policy_bypass,"Follow-up: Approved log export for compliance audit - BMS-25196

Hi Priya,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket BMS-25196; building Senior Center; asset VAV-201; zone training room A. The request may mention firmware update, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Leah Kim
Vendor Coordinator"
enron_zero_shot_target_calibrated_threshold,0.00484608065628812,1,Follow-up: Approved password reset - internal ticket AUD-36670,HAR-LEGI-01,legitimate_password_reset,approved,credential_request,"Follow-up: Approved password reset - internal ticket AUD-36670

Hi Fatima,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket AUD-36670; building Traffic Management Center; asset AHU-2; zone elevator machine room. The request may mention remote support, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after vendor disconnects. No external payment portal or off-ticket credential collection is authorized.

Lin Zhao
Facilities IT Liaison"
enron_zero_shot_target_calibrated_threshold,0.0047931610606832525,1,[FAC-12153] Approved vendor VPN access - FAC-12153,HAR-APPR-03,approved_vendor_vpn,approved,payment_change,"[FAC-12153] Approved vendor VPN access - FAC-12153

Hi James,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket FAC-12153; building Recreation Center; asset CTRL-208; zone council chambers. The request may mention banking update, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Noah Davis
OT Network Engineer"
enron_zero_shot_target_calibrated_threshold,0.004785191896874173,1,Approved remote support session - Traffic Management Center,HAR-APPR-02,approved_remote_support,approved,remote_access,"Approved remote support session - Traffic Management Center

Hi Nora,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved in Change Advisory Board; ticket WO-21608; building Traffic Management Center; asset RTU-6; zone server room. The request may mention log export, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: end of maintenance window. No external payment portal or off-ticket credential collection is authorized.

Priya Patel
Controls Technician"
enron_zero_shot_target_calibrated_threshold,0.004736419112592372,1,Approved remote support session - Traffic Management Center,HAR-APPR-03,approved_remote_support,approved,payment_change,"Approved remote support session - Traffic Management Center

Hi Paula,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: validated against the vendor roster; ticket AUD-38983; building Traffic Management Center; asset VAV-114; zone server room. The request may mention policy exception, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Anna Kowalski
Building Engineer"
fine_tuned_random_split_hard_negative_holdout,0.00786722820534671,0,Procurement-approved invoice/banking update - BMS-10732,HAR-APPR-03,approved_invoice_banking_update,approved,payment_change,"Procurement-approved invoice/banking update - BMS-10732

Hi James,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: approved with expiration time; ticket BMS-10732; building Community Center East; asset B-2; zone basement mechanical. The request may mention firmware update, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: after audit export completes. No external payment portal or off-ticket credential collection is authorized.

Ian McCarthy
Energy Analyst"
fine_tuned_random_split_hard_negative_holdout,0.007116665889947732,0,Approved temporary security exception - expires tonight,HAR-APPR-01,approved_temporary_security_exception,approved,credential_request,"Approved temporary security exception - expires tonight

Hi Leah,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: covered by existing master service agreement; ticket CHG-24044; building Senior Center; asset RTU-7; zone south mechanical chase. The request may mention firmware update, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: 22:00 tonight. No external payment portal or off-ticket credential collection is authorized.

Diego Hernandez
Security Coordinator"
fine_tuned_random_split_hard_negative_holdout,0.007092268837238375,0,[AUD-45644] Procurement-approved invoice/banking update - AUD-45644,HAR-APPR-01,approved_invoice_banking_update,approved,credential_request,"[AUD-45644] Procurement-approved invoice/banking update - AUD-45644

Hi Andre,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: authorized under maintenance ticket; ticket AUD-45644; building Community Center East; asset CTRL-201; zone south mechanical chase. The request may mention firmware update, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: end of maintenance window. No external payment portal or off-ticket credential collection is authorized.

Rachel Stein
Audit Coordinator"
fine_tuned_random_split_hard_negative_holdout,0.007007242839203435,0,RE: Approved firmware update - VAV-201,HAR-APPR-02,approved_firmware_update,approved,remote_access,"RE: Approved firmware update - VAV-201

Hi Mateo,

This message contains suspicious-looking operational terms, but it is a legitimate approved workflow. Context: logged in the audit register; ticket FAC-21325; building Youth Services Center; asset VAV-201; zone basement mechanical. The request may mention policy exception, but it is limited to the approved window and documented in the city change record.

Expiration/rollback: end of maintenance window. No external payment portal or off-ticket credential collection is authorized.

James O'Brien
BMS Operator"
